mode,keys_checked,checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_ns,checks_before_if,checks_after_if, total_decaps_time
Classic,8,8,6478960.38,12845880.00,8085375.25,8,1,77640211.00
Classic,8,4,6455913.50,16441083.00,10567321.25,4,1,55477954.00
Classic,8,8,6347959.88,13336349.00,8015559.88,8,1,76757919.00
Classic,8,5,6536863.40,12870222.00,9111627.60,5,1,58661471.00
Classic,8,7,6366229.43,12543204.00,8158702.43,7,1,70145613.00
Classic,8,4,6509881.75,12878105.00,9730101.25,4,1,51903179.00
Classic,8,2,6351842.50,12972559.00,12839160.00,2,1,38661969.00
Classic,8,6,6408556.33,12655572.00,8519199.67,6,1,64143144.00
Classic,8,3,6521838.00,12725137.00,10764225.00,3,1,45243964.00
Classic,8,8,6422547.50,12867860.00,8031680.75,8,1,76966727.00
Classic,8,2,6444527.00,12581751.00,12736367.50,2,1,38201361.00
Classic,8,7,6371619.86,12816584.00,8203059.71,7,1,70166683.00
Classic,8,6,6567688.00,12594954.00,8667565.17,6,1,64946754.00
Classic,8,5,6394716.40,12573082.00,8909909.00,5,1,57189667.00
Classic,8,1,6355109.00,12453780.00,18810086.00,1,1,31375017.00
Classic,8,1,6288852.00,12956202.00,19246389.00,1,1,31967270.00
Classic,8,4,6476477.25,12510988.00,9604780.00,4,1,51835733.00
Classic,8,3,6502230.67,12752524.00,10753880.67,3,1,45047327.00
Classic,8,4,6624716.75,12511270.00,9753256.00,4,1,51630496.00
Classic,8,7,6434250.57,12879660.00,8274729.57,7,1,70782814.00
Classic,8,6,6421057.67,12598414.00,8521384.50,6,1,64249744.00
Classic,8,1,6430852.00,12643829.00,19076133.00,1,1,31667087.00
Classic,8,7,6512817.71,12762690.00,8336710.71,7,1,71330690.00
Classic,8,7,6387363.29,12762096.00,8211034.71,7,1,70143938.00
Classic,8,1,6238382.00,12736080.00,18975555.00,1,1,31776478.00
Classic,8,4,6402412.50,12568715.00,9545563.75,4,1,50947860.00
Classic,8,5,6338391.60,12447078.00,8828279.80,5,1,56910747.00
Classic,8,6,6549797.50,12645297.00,8658124.33,6,1,64799726.00
Classic,8,3,6637332.67,12802923.00,10905731.33,3,1,45549939.00
Classic,8,7,6403818.14,12548503.00,8196909.57,7,1,70329030.00
Classic,8,3,6381347.33,12722089.00,10622864.67,3,1,44593169.00
Classic,8,1,6260186.00,13077876.00,19339618.00,1,1,32185010.00
Classic,8,2,6760320.50,12759493.00,13141011.00,2,1,38987187.00
Classic,8,2,6580476.00,12807264.00,12984930.00,2,1,38673398.00
Classic,8,4,6595309.00,12742913.00,9781842.25,4,1,51838590.00
Classic,8,1,6401636.00,13087642.00,19490919.00,1,1,32092336.00
Classic,8,6,6352395.00,12658897.00,8462868.33,6,1,63456964.00
Classic,8,2,6444000.50,12736298.00,12813451.00,2,1,38430353.00
Classic,8,4,6346512.50,12853746.00,9560552.25,4,1,51241977.00
Classic,8,2,6473174.50,12901970.00,12925122.00,2,1,38967362.00
Classic,8,6,6322057.50,12718893.00,8442354.33,6,1,63586364.00
Classic,8,6,6453533.50,12555266.00,8546612.17,6,1,64224954.00
Classic,8,2,6547283.50,12451854.00,12774240.00,2,1,38153682.00
Classic,8,2,6681344.50,12460571.00,12912668.00,2,1,38386615.00
Classic,8,5,6493027.20,12497736.00,8993027.40,5,1,57756792.00
Classic,8,7,6548039.14,12906114.00,8392503.29,7,1,72463372.00
